tagId,tag_userId,movieId,tag,tag_timestamp
1,18,4141,Mark Waters,2009-04-24 18:19:40
2,65,208,dark hero,2013-05-10 01:41:18
3,65,353,dark hero,2013-05-10 01:41:19
4,65,521,noir thriller,2013-05-10 01:39:43
5,65,592,dark hero,2013-05-10 01:41:18
6,65,668,bollywood,2013-05-10 01:37:56
7,65,898,screwball comedy,2013-05-10 01:42:40
8,65,1248,noir thriller,2013-05-10 01:39:43
9,65,1391,mars,2013-05-10 01:40:55
10,65,1617,neo-noir,2013-05-10 01:43:37
11,65,1694,jesus,2013-05-10 01:38:45
12,65,1783,noir thriller,2013-05-10 01:39:43
13,65,2022,jesus,2013-05-10 01:38:45
14,65,2193,dragon,2013-05-10 02:01:54
15,65,2353,conspiracy theory,2013-05-10 02:01:06
16,65,2662,mars,2013-05-10 01:40:55
17,65,2726,noir thriller,2013-05-10 01:39:43
18,65,2840,jesus,2013-05-10 01:38:45
19,65,3052,jesus,2013-05-10 01:38:46
20,65,5135,bollywood,2013-05-10 01:37:56
21,65,6539,treasure,2013-05-10 01:39:09
22,65,6874,dark hero,2013-05-10 01:41:19
23,65,7013,noir thriller,2013-05-10 01:39:43
24,65,7318,jesus,2013-05-10 01:38:45
25,65,8529,stranded,2013-05-10 01:40:12
26,65,8622,conspiracy theory,2013-05-10 02:01:06
27,65,27803,Oscar (Best Foreign Language Film),2011-05-10 06:25:15
28,65,27866,New Zealand,2011-05-09 16:05:53
29,65,48082,surreal,2011-05-09 16:25:54
30,65,48082,unusual,2011-05-09 16:25:59
31,65,51884,bollywood,2013-05-10 01:37:56
32,65,58652,cute,2011-05-09 16:13:32
33,65,58652,emotional,2011-05-09 16:13:28
34,65,58652,girls who play boys,2011-05-09 16:10:03
35,65,58652,Stephen Chow,2011-05-09 16:09:48
36,96,106696,animation,2014-03-29 12:51:30
37,96,106696,beautiful,2014-03-29 12:51:37
38,96,106696,characters,2014-03-29 12:51:40
39,96,106696,Disney,2014-03-29 12:51:32
40,96,106696,feminist,2014-03-29 12:51:42
41,96,106696,Ice,2014-03-29 12:51:45
42,96,106696,music,2014-03-29 12:51:48
43,96,106696,musical,2014-03-29 12:51:49
44,96,106696,pacing,2014-03-29 12:51:57
45,96,106696,royalty,2014-03-29 12:52:10
46,96,106696,siblings,2014-03-29 12:52:13
47,96,106696,storyline,2014-03-29 12:52:17
48,96,106696,themes,2014-03-29 12:52:25
49,96,106696,unnecessary villain,2014-03-29 12:51:20
50,96,106696,voice acting,2014-03-29 12:52:33
51,96,106696,writing,2014-03-29 12:52:38
52,121,778,dark comedy,2011-03-23 04:00:46
53,121,778,drugs,2011-03-23 04:00:44
54,121,778,Nudity (Full Frontal - Notable),2011-03-23 04:00:39
55,121,778,Nudity (Full Frontal),2011-03-23 04:00:41
56,121,1288,Christopher Guest,2011-04-01 06:49:19
57,121,1288,comedy,2011-04-01 06:48:26
58,121,1288,music business,2011-04-01 06:48:43
59,121,1288,rock and roll,2011-04-01 06:48:15
60,121,1288,satire,2011-04-01 06:48:17
61,121,1288,witty,2011-04-01 06:48:20
62,121,2706,Nudity (Topless - Notable),2011-03-22 04:21:21
63,121,2706,Nudity (Topless),2011-03-22 04:21:24
64,121,2706,sexuality,2011-03-22 04:21:32
65,121,2706,teen comedy,2011-03-22 04:21:28
66,121,4718,Nudity (Topless),2011-03-22 04:21:54
67,121,4718,sexuality,2011-03-22 04:21:56
68,121,5283,College Humor,2011-03-22 04:22:48
69,121,5283,Nudity (Topless),2011-03-22 04:22:37
70,121,5283,R,2011-03-22 04:22:39
71,121,5283,Ryan Reynolds,2011-03-22 04:22:35
72,121,5283,Teen movie,2011-03-22 04:22:43
73,121,6188,college,2011-03-22 04:23:40
74,121,6188,Nudity (Topless),2011-03-22 04:23:19
75,121,6188,Seann William Scott,2011-03-22 04:23:35
76,121,6188,Vince Vaughn,2011-03-22 04:23:26
77,121,6188,Will Ferrell,2011-03-22 04:23:21
78,121,8641,Funniest Movies,2011-03-22 04:24:46
79,121,8641,hilarious,2011-03-22 04:24:37
80,121,8641,One of the worst movies of all time,2011-03-22 04:24:41
81,121,8641,seen more than once,2011-03-22 04:24:34
82,121,8641,Steve Carell,2011-03-22 04:24:27
83,121,8641,Vince Vaughn,2011-03-22 04:24:25
84,121,8641,Will Ferrell,2011-03-22 04:24:29
85,121,35836,comedy,2011-03-27 03:48:48
86,121,35836,crude humor,2011-03-27 03:48:56
87,121,35836,Nudity (Topless - Notable),2011-03-27 03:48:38
88,121,35836,Nudity (Topless),2011-03-27 03:48:41
89,121,35836,Seth Rogen,2011-03-27 03:49:01
90,121,35836,sex,2011-03-27 03:48:46
91,121,35836,sex comedy,2011-03-27 03:48:43
92,121,35836,Steve Carell,2011-03-27 03:48:59
93,121,36529,arms dealer,2011-03-23 04:04:29
94,121,36529,dark comedy,2011-03-23 04:04:24
95,121,36529,drugs,2011-03-23 04:04:26
96,121,36529,Nicolas Cage,2011-03-23 04:04:22
97,121,36529,Nudity (Topless),2011-03-23 04:04:34
98,121,46970,Below R,2011-03-22 04:25:10
99,121,46970,Tarantino,2011-03-22 04:25:02
100,121,46970,Will Ferrell,2011-03-22 04:25:00
101,121,52973,drugs,2011-03-22 04:20:09
102,121,52973,Nudity (Topless - Brief),2011-03-22 04:20:17
103,121,52973,Nudity (Topless),2011-03-22 04:20:11
104,121,54503,crude humor,2011-03-22 04:20:56
105,121,54503,Highly quotable,2011-03-22 04:20:53
106,121,54503,pornography,2011-03-22 04:21:00
107,121,54503,Teen movie,2011-03-22 04:20:47
108,121,54503,virginity,2011-03-22 04:20:49
109,121,59900,Adam Sandler,2011-03-28 04:07:14
110,121,59900,Below R,2011-03-28 04:07:32
111,121,59900,exaggerated,2011-03-28 04:07:16
112,121,59900,Israeli/Palestinian conflict,2011-03-28 04:07:19
113,121,59900,over the top,2011-03-28 04:07:37
114,121,60756,comedy,2011-03-22 04:24:09
115,121,60756,Seth Rogen,2011-03-22 04:23:56
116,121,60756,will ferrell,2011-03-22 04:24:00
117,121,68073,1960s,2011-04-01 06:46:29
118,121,68073,Bill Nighy,2011-04-01 06:46:32
119,121,68073,meandering,2011-04-01 06:46:56
120,121,68073,Philip Seymour Hoffman,2011-04-01 06:46:43
121,121,68073,pirate radio,2011-04-01 06:46:48
122,121,68073,rock and roll,2011-04-01 06:46:51
123,121,68073,soundtrack,2011-04-01 06:47:04
124,121,80693,mental illness,2011-03-29 04:51:43
125,121,80693,Zach Galifianakis,2011-03-29 04:51:51
126,129,104,Adam Sandler,2011-02-08 05:57:48
127,129,104,golf,2011-02-08 05:57:52
128,129,104,sports,2011-02-08 05:57:50
129,129,1359,Arnold Schwarzenegger,2011-01-08 20:28:08
130,129,1359,christmas movie,2011-01-08 20:28:12
131,129,1359,Xmas theme(?),2011-01-08 20:28:20
132,129,2335,Adam Sandler,2011-02-08 05:57:26
133,129,2335,American football,2011-02-08 05:57:28
134,129,2335,football,2011-02-08 05:57:39
135,129,2335,sport:American football,2011-02-08 05:57:34
136,129,2706,high school,2011-03-06 23:14:38
137,129,2706,Nudity (Topless - Notable),2011-03-06 23:14:59
138,129,2706,Nudity (Topless),2011-03-06 23:15:01
139,129,2706,sexuality,2011-03-06 23:14:49
140,129,2706,teen comedy,2011-03-06 23:15:05
141,129,2706,Teen movie,2011-03-06 23:15:18
142,129,2706,virginity,2011-03-06 23:14:44
143,129,3556,great ending,2011-03-14 03:17:53
144,129,3556,high school,2011-03-14 03:17:43
145,129,3556,lyrical,2011-03-14 03:18:05
146,129,3556,melancholy,2011-03-14 03:17:57
147,129,3556,psychology,2011-03-14 03:17:44
148,129,3556,reflective,2011-03-14 03:18:02
149,129,3556,suburbia,2011-03-14 03:17:59
150,129,3556,suicide,2011-03-14 03:17:48
151,129,3556,visually appealing,2011-03-14 03:17:58
152,129,4247,David Spade,2011-02-08 05:56:14
153,129,4247,fuck you it's funny,2011-02-08 05:56:17
154,129,4247,movie to see,2011-02-08 05:56:18
155,129,4732,stupid :),2011-02-08 05:56:32
156,129,4878,alternate timeline,2011-04-04 03:10:44
157,129,4878,cult classic,2011-04-04 03:10:48
158,129,4878,cult film,2011-04-04 03:10:49
159,129,4878,high school,2011-04-04 03:10:53
160,129,4878,mental illness,2011-04-04 03:10:46
